TOTAL ELEMENTS: 
2048
AVL delete avg time: series 2, i: 0, time: 0.00019983303546905517}, IS_SORTED: false
BST delete total time: series 2, i: 0, time: 0.3736249804496765}, IS_SORTED: false
BST delete avg time: series 2, i: 0, time: 0.0002114580273628235}, IS_SORTED: false
AVL delete total time: series 2, i: 1, time: 0.2607089877128601}, IS_SORTED: false 
AVL delete avg time: series 2, i: 1, time: 0.00016195803880691528}, IS_SORTED: false
BST delete total time: series 2, i: 1, time: 0.11662501096725464}, IS_SORTED: false
BST delete avg time: series 2, i: 1, time: 0.0001690419912338257}, IS_SORTED: false
AVL delete total time: series 2, i: 2, time: 0.2601670026779175}, IS_SORTED: false 
AVL delete avg time: series 2, i: 2, time: 0.00016558396816253662}, IS_SORTED: false
BST delete total time: series 2, i: 2, time: 0.11970800161361694}, IS_SORTED: false
BST delete avg time: series 2, i: 2, time: 0.0001737079620361328}, IS_SORTED: false
AVL delete total time: series 2, i: 3, time: 0.2578750252723694}, IS_SORTED: false 
AVL delete avg time: series 2, i: 3, time: 0.00016279202699661256}, IS_SORTED: false
BST delete total time: series 2, i: 3, time: 0.11658298969268799}, IS_SORTED: false
BST delete avg time: series 2, i: 3, time: 0.00016975003480911255}, IS_SORTED: false
AVL delete total time: series 2, i: 4, time: 0.25462496280670166}, IS_SORTED: false 
AVL delete avg time: series 2, i: 4, time: 0.0001637919545173645}, IS_SORTED: false
BST delete total time: series 2, i: 4, time: 0.11766701936721802}, IS_SORTED: false
BST delete avg time: series 2, i: 4, time: 0.00016608399152755738}, IS_SORTED: false
AVL delete total time: series 2, i: 5, time: 0.2548329830169678}, IS_SORTED: false 
AVL delete avg time: series 2, i: 5, time: 0.00016116702556610109}, IS_SORTED: false
BST delete total time: series 2, i: 5, time: 0.11729198694229126}, IS_SORTED: false
BST delete avg time: series 2, i: 5, time: 0.00017825001478195192}, IS_SORTED: false
AVL delete total time: series 2, i: 6, time: 0.2528749704360962}, IS_SORTED: false 
AVL delete avg time: series 2, i: 6, time: 0.00016816699504852294}, IS_SORTED: false
BST delete total time: series 2, i: 6, time: 0.11762499809265137}, IS_SORTED: false
BST delete avg time: series 2, i: 6, time: 0.00016679197549819945}, IS_SORTED: false
AVL delete total time: series 2, i: 7, time: 0.2669999599456787}, IS_SORTED: false 
